symbol,side,entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days
ADSK,long,2019-01-02,125.45269438934325,2019-02-01,147.70610877990723,15,333.8012158584596,0.17738490591123024,30
WDAY,long,2019-01-02,156.0379867172241,2019-02-01,180.57966316986085,1,24.54167645263675,0.1572801403616658,30
PAYC,long,2019-01-02,117.23903084356766,2019-02-01,144.64374024482333,1,27.404709401255673,0.23375073304573668,30
NOW,long,2019-01-02,34.84141331291198,2019-02-01,43.69414160346985,6,53.11636974334722,0.2540863716133212,30
ADBE,long,2019-01-02,220.01995866394043,2019-02-01,247.69609732055665,8,221.40910925292974,0.12578921850853034,30
MSFT,long,2019-01-02,92.97800145724612,2019-02-01,96.83186093578186,20,77.07718957071478,0.04144915375824518,30
KEYS,long,2019-01-02,61.20058316802978,2019-02-01,74.31282347488404,2,26.224480613708522,0.21425025102871714,30
AES,long,2019-01-02,10.850806270819621,2019-02-01,12.563636728441168,5,8.564152288107731,0.15785282815598242,30
MA,long,2019-01-02,178.19402159924536,2019-02-01,203.42699931617975,10,252.32977716934386,0.14160395220038766,30
NFLX,long,2019-01-02,25.94096349620819,2019-02-01,33.70113950538635,73,566.4928486700056,0.2991475629003707,30
FFIV,long,2019-01-02,158.26909744262696,2019-02-01,160.70959828948975,12,29.286010162353477,0.015419945436584542,30
ISRG,long,2019-01-02,156.57825,2019-02-01,174.1961987838745,12,211.41538540649412,0.11251849336593371,30
CNC,long,2019-01-02,57.05851377868652,2019-02-01,65.00748091506958,33,262.31591550064104,0.13931255144876026,30
AMD,long,2019-01-02,18.019005228996274,2019-02-01,24.597695610046387,17,111.8377364778519,0.365097312390123,30
AMZN,long,2019-01-02,73.29663213729857,2019-02-01,81.90302824401856,26,223.7662987747196,0.11741871155278406,30
LULU,long,2019-01-02,118.94944438934326,2019-02-01,147.37627194976807,2,56.85365512084962,0.23898243246415354,30
PTC,long,2019-01-02,80.92043725204468,2019-02-01,84.62766316986084,23,85.26619610977168,0.04581322152609212,30
GWW,long,2019-01-02,253.30927378395637,2019-02-01,268.1638060741156,7,103.98172603111459,0.05864188100285832,30
CDW,long,2019-01-02,72.94039232439344,2019-02-01,76.4065941810608,26,90.1212482733512,0.04752102019484412,30
WBD,long,2019-01-02,24.382185839653015,2019-02-01,28.485750000000003,79,324.181568667412,0.16830173419781405,30
HUM,long,2019-01-02,265.4755260538379,2019-02-01,286.63782153961876,7,148.13606840046612,0.07971467577575947,30
AXON,long,2019-01-02,43.01149667930603,2019-02-01,51.08444561004639,2,16.14589786148072,0.18769281596807277,30
DXCM,long,2019-01-02,29.267126784324645,2019-02-01,35.15741173744202,4,23.56113981246949,0.2012594197074441,30
MOS,long,2019-01-02,25.201676502623176,2019-02-01,28.272176852367295,76,233.35802658055303,0.1218371464066892,30
CMG,long,2019-01-02,8.560877916812895,2019-02-01,10.584304809570312,21,42.491964747905755,0.23635740544594902,30
ROL,long,2019-01-02,21.751564070265847,2019-02-01,22.732741541185135,89,87.32479491181665,0.04510836405831373,30
CSX,long,2019-01-02,18.383817557466976,2019-02-01,19.834431448517797,104,150.8638446692854,0.07890710873931751,30
FE,long,2019-02-01,28.8337550056052,2019-03-01,30.24269151930394,75,105.67023852740532,0.04886413557390788,28
BSX,long,2019-01-02,34.790194947694474,2019-03-01,40.459759542465214,1,5.6695645947707405,0.16296443878209596,58
PAYC,long,2019-01-02,117.23903084356766,2019-03-01,179.47349646234522,3,186.7033968563327,0.5308340163764844,58
NOW,long,2019-01-02,34.84141331291198,2019-03-01,48.437770799636844,49,666.2215168495183,0.3902355327728955,58
VRSN,long,2019-01-02,143.7195239407096,2019-03-01,176.6070135452013,1,32.88748960449172,0.2288310502479761,58
MSI,long,2019-01-02,103.89098745805575,2019-03-01,130.57535889994915,20,533.6874288378681,0.2568497238768356,58
KEYS,long,2019-01-02,61.20058316802978,2019-03-01,84.95750000000001,2,47.51383366394046,0.3881812166191983,58
DPZ,long,2019-01-02,225.33870050586492,2019-03-01,232.0156545197257,8,53.415632110886236,0.029630746955013162,58
AES,long,2019-01-02,10.850806270819621,2019-03-01,13.245444212335947,1,2.3946379415163257,0.2206875583021026,58
EW,long,2019-01-02,50.661983676910396,2019-03-01,56.91152862739563,38,237.482708118439,0.12335768355105917,58
CME,long,2019-02-01,139.37170167024163,2019-03-01,138.82914235184342,15,-8.13838977597328,-0.0038928944103870755,28
DECK,long,2019-01-02,21.32268552283485,2019-03-01,24.975838582038882,9,32.878377532836296,0.1713270617480057,58
CRM,long,2019-01-02,131.53553405480244,2019-03-01,162.67904294185203,14,436.0091244186943,0.23676878731547998,58
INTU,long,2019-01-02,181.93287815228908,2019-03-01,237.8214924010732,10,558.8861424878411,0.3071935914848875,58
