symbol,side,entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days
MKR/USD,long,2019-01-07,522.9623486328124,2019-01-14,421.452395324707,0.05823238940513065,-5.911167129534225,-0.19410566281393732,7
XRP/USD,long,2019-01-07,0.36977612122893333,2019-01-14,0.3175581255555153,2640.8282900044433,-137.89876022169187,-0.14121516419144098,7
BTC/USD,long,2019-01-07,4088.7814233398435,2019-01-14,3548.41775756836,0.27507177410930916,-148.63879220797182,-0.1321576308009387,7
MKR/USD,long,2019-01-07,522.9623486328124,2019-01-21,451.48397026062014,5.299394946626112,-378.7921571386251,-0.13667977925955702,14
BCH/USD,long,2019-01-07,164.64027888298745,2019-01-21,123.61038082122803,11.21709751316827,-460.2363675141091,-0.24920935715202497,14
XRP/USD,long,2019-01-07,0.36977612122893333,2019-01-21,0.3203760550171137,5521.29012484198,-272.75209774185976,-0.1335945275418025,14
LTC/USD,long,2019-01-07,38.959599896920906,2019-01-21,31.110684213638308,64.02889996187866,-502.557437094122,-0.20146294376865306,14
ETH/USD,long,2019-01-07,154.72821259474884,2019-01-21,119.33736820220948,16.089528196536932,-569.4219887530131,-0.22872909729289057,14
BTC/USD,long,2019-01-07,4088.7814233398435,2019-01-21,3591.3718707275393,0.5034895269725594,-250.44050035640146,-0.12165227267296784,14
BCH/USD,long,2019-01-07,164.64027888298745,2019-01-28,122.7278042793274,1.7909831326885097,-75.06453506439067,-0.25456999276251185,21
LTC/USD,long,2019-01-07,38.959599896920906,2019-01-28,32.43583136558533,25.070077953378245,-163.55138563037883,-0.16744957721835255,21
BTC/USD,long,2019-01-07,4088.7814233398435,2019-01-28,3575.322495117188,0.07146168671854314,-36.69264107148635,-0.12557749487211436,21
LINK/USD,long,2019-01-21,0.48643157457932573,2019-02-04,0.39627182476222517,25068.414593953043,-2260.161988102159,-0.18534929582865226,14
MKR/USD,long,2019-01-07,489.40591090422714,2019-02-11,460.32871582031254,1.9222762081212608,-55.89440030870953,-0.05941324866753556,35
LTC/USD,long,2019-01-07,38.53218038176196,2019-02-11,46.76462754249573,64.64139439544016,532.1568637566131,0.21365121514458468,35
ETH/USD,long,2019-01-07,146.91106993574346,2019-02-11,124.55935741424561,1.0291875139795366,-23.004103443185645,-0.15214450845177374,35
MKR/USD,long,2019-01-07,489.40591090422714,2019-02-18,538.0881756591797,3.7361396002540594,181.88373718103068,0.09947216343383984,42
ETH/USD,long,2019-01-07,146.91106993574346,2019-02-18,132.69996562957763,5.33042235781943,-75.75118812289027,-0.09673269898845288,42
MKR/USD,long,2019-01-07,489.40591090422714,2019-02-25,653.781798248291,3.8369946886739825,630.709406685246,0.3358682101741737,49
XRP/USD,long,2019-01-07,0.35059841769166616,2019-03-04,0.31124093480408194,925.3584333120234,-36.419778703959715,-0.11225801629885612,56
LTC/USD,long,2019-01-07,39.16851896563228,2019-03-04,48.214115924835205,20.212964297791814,182.8383283885829,0.23094048991588942,56
LTC/USD,long,2019-01-07,39.16851896563228,2019-03-11,57.044732923507695,38.613599249833385,690.2649618736792,0.45639238934616294,63
MKR/USD,long,2019-01-07,501.2082108876906,2019-03-18,695.6500708007812,0.3398765556955503,66.08622963029794,0.3879462779923624,70
BCH/USD,long,2019-01-07,154.38083764985066,2019-03-18,155.8682334136963,11.674478723817103,17.36457019891145,0.009634587987008924,70
LTC/USD,long,2019-01-07,39.16851896563228,2019-03-18,61.131071977615356,2.9409619493370087,64.59103271853914,0.5607195163864563,70
MKR/USD,long,2019-01-07,501.2082108876906,2019-03-25,728.1018800354004,1.0299219593012054,233.68277228164877,0.4526934400094087,77
BCH/USD,long,2019-01-07,154.38083764985066,2019-03-25,165.69119441986084,5.58230006895198,63.13780537709928,0.0732626985459365,77
BCH/USD,long,2019-01-07,154.38083764985066,2019-04-01,168.4768306732178,1.091946850302051,15.392075183745423,0.09130662352887398,84
LTC/USD,long,2019-01-07,39.68556727105959,2019-04-01,60.6179118347168,0.4641252097022175,9.715228810166474,0.5274548407154046,84
ETH/USD,long,2019-01-07,145.46201153638938,2019-04-01,141.11182090759277,3.0874504453201865,-13.430997994105798,-0.029906025517242,84
BTC/USD,long,2019-01-07,3977.5228575158885,2019-04-01,4095.0988989257817,0.05564942880199819,6.54303954526064,0.0295601170934122,84
BCH/USD,long,2019-01-07,154.38083764985066,2019-04-08,318.9656021118164,29.146050330274335,4796.9958286047995,1.066095811937868,91
LTC/USD,long,2019-01-07,39.68556727105959,2019-04-08,92.09707637786866,32.35133673411508,1695.5823798575193,1.3206692687250505,91
MKR/USD,long,2019-01-07,559.2184850862517,2019-04-15,635.081047668457,1.2044865414962374,91.37543563368236,0.13565818120354978,98
BCH/USD,long,2019-01-07,154.38083764985066,2019-04-15,287.9763139343262,9.119436218426692,1218.3154250466102,0.8653630743180823,98
XRP/USD,long,2019-01-07,0.34857431300392416,2019-04-15,0.328018898293376,8739.105128126139,-179.63593010771098,-0.05896996406134138,98
LTC/USD,long,2019-01-07,39.68556727105959,2019-04-15,82.80735534667969,30.43967788871106,1312.6133390071373,1.0865861581640122,98
ETH/USD,long,2019-01-07,147.87872346390137,2019-04-15,167.47773250579834,23.641211561887673,463.34431916283586,0.1325343401864115,98
BTC/USD,long,2019-01-07,4048.611130439738,2019-04-15,5154.403472900391,0.9107832300529775,1007.1371214341613,0.27312881055596644,98
LINK/USD,long,2019-04-15,0.5300618387758732,2019-04-22,0.4981006255745888,34026.67489449066,-1087.533810833608,-0.060297140565892776,7
BTC/USD,long,2019-01-07,4176.363465724146,2019-04-29,5271.646252441406,0.26974471927346855,295.4467478281096,0.26225753474436814,112
BCH/USD,long,2019-01-07,174.91010546501855,2019-05-06,293.2271919250488,6.4033663157700715,757.6276460182131,0.6764451153092085,119
LTC/USD,long,2019-01-07,47.23405047921884,2019-05-06,75.83891160964966,9.535409591404346,272.7590671838994,0.605598309698548,119
BTC/USD,long,2019-01-07,4176.363465724146,2019-05-06,5777.214125976563,0.14752769925574105,236.16981475907303,0.3833121023566953,119
MKR/USD,long,2019-01-07,560.6982628753317,2019-05-13,554.6381277465821,4.446056765324897,-26.943704787960257,-0.010808193158424403,126
BCH/USD,long,2019-01-07,174.91010546501855,2019-05-13,353.14486289978026,13.65778413968615,2434.2918432332967,1.0190077752277618,126
XRP/USD,long,2019-01-07,0.3434255695573396,2019-05-13,0.3093426948040724,4058.496524617549,-138.3252287351102,-0.0992438472103243,126
LTC/USD,long,2019-01-07,47.23405047921884,2019-05-13,84.42099454879761,35.5438284422101,1321.7663602991702,0.7872910261198031,126
ETH/USD,long,2019-01-07,150.59619149114562,2019-05-13,186.94937816619873,19.583608539702894,711.9265770149835,0.24139512636473623,126
BTC/USD,long,2019-01-07,4176.363465724146,2019-05-13,6953.75027709961,0.6895430531842801,1915.1277817895893,0.6650251670310232,126
XRP/USD,long,2019-01-07,0.3434255695573396,2019-05-20,0.41641236104071144,3718.7263317104807,271.4179033562771,0.212525792932217,133
ETH/USD,long,2019-01-07,150.59619149114562,2019-05-20,260.614317855835,9.464234811073936,1041.2373813898243,0.7305505223958997,133
LINK/USD,long,2019-05-13,0.6596349537372589,2019-05-20,0.9914461679756642,4739.738441933307,1572.6983675903377,0.5030224859348039,7
MKR/USD,long,2019-01-07,564.9641551556093,2019-05-27,742.2680360412598,1.167586999803362,207.01770633676935,0.31383208875758734,140
