,equity
2023-05-02,101464.51039050004
2023-05-03,101248.11039050003
2023-05-04,100204.57039050004
2023-05-05,101533.71039050007
2023-05-08,101883.21039050003
2023-05-09,101695.82039050007
2023-05-10,101745.8653905001
2023-05-11,101693.80539050006
2023-05-12,102174.45039050005
2023-05-15,102490.37039050004
2023-05-16,101582.03039050003
2023-05-17,102534.07039050004
2023-05-18,104111.14039050006
2023-05-19,103517.29039050003
2023-05-22,103255.80039050005
2023-05-23,101335.51039050004
2023-05-24,100925.63039050004
2023-05-25,103143.12039050003
2023-05-26,104329.54039050001
2023-05-30,104765.40039050006
2023-05-31,103335.71039050005
2023-06-01,104078.62505800005
2023-06-02,105682.59505800006
2023-06-05,105608.76505800005
2023-06-06,105988.30505800006
2023-06-07,105780.63505800007
2023-06-08,106479.30505800003
2023-06-09,106856.74505800001
2023-06-12,108015.13505800004
2023-06-13,108498.42505800002
2023-06-14,108695.83505800003
2023-06-15,109671.18505800002
2023-06-16,109373.79505800003
2023-06-20,108996.93505800002
2023-06-21,109112.375058
2023-06-22,109070.25505800002
2023-06-23,108175.90505800008
2023-06-26,108286.91505800004
2023-06-27,109574.67505800004
2023-06-28,109504.29505800008
2023-06-29,109818.30505800006
2023-06-30,111148.55505800004
2023-07-03,110950.10168300007
2023-07-05,110510.81168300004
2023-07-06,109258.03168300001
2023-07-07,109396.21168300007
2023-07-10,111283.59168300005
2023-07-11,111624.86168300002
2023-07-12,112536.29168300006
2023-07-13,113355.86168300004
2023-07-14,113330.50168300007
2023-07-17,114492.41168300003
2023-07-18,115133.78168300002
2023-07-19,114410.41168300001
2023-07-20,112729.32168300007
2023-07-21,112569.50168300008
2023-07-24,112613.78168300004
2023-07-25,113484.09168300002
2023-07-26,112855.90168300005
2023-07-27,112555.98168300003
2023-07-28,113636.85168300006
2023-07-31,114333.26168300005
2023-08-01,114164.99424550004
2023-08-02,112516.58424550007
2023-08-03,112308.85424550003
2023-08-04,112287.56424550003
2023-08-07,113741.38424550007
2023-08-08,113066.24424550001
2023-08-09,111613.04424550006
2023-08-10,111811.41424550004
2023-08-11,111107.08424550002
2023-08-14,112190.41424550007
2023-08-15,111299.90424550002
2023-08-16,110036.51424550005
2023-08-17,107712.03424550004
2023-08-18,107993.60424550003
2023-08-21,108515.8042455
2023-08-22,108673.81424550005
2023-08-23,110032.31424550008
2023-08-24,108147.71424550003
2023-08-25,108522.82424550003
2023-08-28,109321.79424549999
2023-08-29,111290.75424550008
2023-08-30,111718.86424550004
2023-08-31,111496.70424550005
2023-09-01,112110.49985550005
2023-09-05,110508.76485550005
2023-09-06,110721.27485550006
2023-09-07,110142.76485550005
2023-09-08,110106.39485550005
2023-09-11,110787.86485550007
2023-09-12,109399.82485550003
2023-09-13,108376.24485550002
2023-09-14,109145.54485550003
2023-09-15,107208.68485550002
2023-09-18,107406.14985550007
2023-09-19,107189.08485550006
2023-09-20,106144.82485550003
2023-09-21,103349.03485550007
2023-09-22,103458.80485550006
2023-09-25,103934.07985550007
2023-09-26,102651.93485550002
2023-09-27,103639.52485550003
2023-09-28,105306.04485550005
2023-09-29,104730.47485550008
2023-10-02,104410.48074050003
2023-10-03,102480.21074050006
2023-10-04,103372.93074050003
2023-10-05,103032.1407405
2023-10-06,104428.35074050009
2023-10-09,105304.76074050006
2023-10-10,106325.86074050007
2023-10-11,106968.07074050006
2023-10-12,105904.65074050004
2023-10-13,104311.44074050004
2023-10-16,105385.56074050006
2023-10-17,105949.45074050005
2023-10-18,103713.62074050005
2023-10-19,102498.41074050002
2023-10-20,100912.65074050004
2023-10-23,101282.07074050004
2023-10-24,102047.81574050007
2023-10-25,99881.66074050007
2023-10-26,98721.10074050004
2023-10-27,98809.81074050005
2023-10-30,99721.66074050007
2023-10-31,100359.78074050002
2023-11-01,102416.0869055
2023-11-02,104653.25690550008
2023-11-03,106511.17690550006
2023-11-06,106367.16690550005
2023-11-07,107008.15690550006
2023-11-08,107535.88690550004
2023-11-09,106765.70690550009
2023-11-10,109028.45690550008
2023-11-13,109011.50690550005
2023-11-14,111974.56690550005
2023-11-15,111614.59690550009
2023-11-16,111569.92690550006
2023-11-17,111994.08690550002
2023-11-20,113134.03690550006
2023-11-21,112366.38690550003
2023-11-22,112783.98690550006
2023-11-24,112894.57690550004
2023-11-27,113003.88690550004
2023-11-28,112471.16690550004
2023-11-29,112646.36690550006
2023-11-30,112733.12690550006
2023-12-01,113656.76210800004
2023-12-04,112857.93210800008
2023-12-05,112648.30710800007
2023-12-06,111872.30210800008
2023-12-07,113198.84210800003
2023-12-08,114320.72210800006
2023-12-11,115109.35210800006
2023-12-12,115979.62210800007
2023-12-13,117175.3721080001
2023-12-14,117607.13210800006
2023-12-15,117731.30210800009
2023-12-18,118430.72210800006
2023-12-19,119051.73710800009
2023-12-20,117134.69210800005
2023-12-21,118757.56210800009
2023-12-22,118738.38210800005
2023-12-26,119170.41210800006
2023-12-27,119577.12210800004
2023-12-28,119558.56210800004
2023-12-29,118744.0521080001
2024-01-02,116055.48104930006
2024-01-03,114589.54104930008
2024-01-04,114462.27104930008
2024-01-05,114753.42104930007
2024-01-08,117537.73104930006
2024-01-09,118067.45104930006
2024-01-10,119001.52104930005
2024-01-11,119404.64104930006
2024-01-12,118988.12104930005
2024-01-16,119468.82104930002
2024-01-17,118747.94104930008
2024-01-18,120015.32104930008
2024-01-19,123197.89104930009
2024-01-22,123999.33104930002
2024-01-23,123655.23104930008
2024-01-24,124245.4410493001
2024-01-25,124860.41104930009
2024-01-26,124073.11104930007
2024-01-29,126069.00104930009
2024-01-30,125563.92104930006
2024-01-31,123448.27104930005
2024-02-01,125668.0847493001
2024-02-02,127876.45474930006
2024-02-05,127474.29474930004
2024-02-06,127676.01474930004
2024-02-07,129602.29474930007
2024-02-08,131545.0047493001
2024-02-09,133273.76474930005
2024-02-12,133082.7747493001
2024-02-13,131014.61474930006
2024-02-14,134309.09474930007
2024-02-15,135260.77474930004
2024-02-16,133513.31474930004
2024-02-20,132030.7747493
2024-02-21,130122.62474930006
2024-02-22,135318.42474930006
2024-02-23,134635.60474930008
2024-02-26,136088.3447493001
2024-02-27,136584.77474930006
2024-02-28,136250.01474930005
2024-02-29,138194.7047493001
2024-03-01,140962.48885930004
2024-03-04,142004.2388593
2024-03-05,139835.14885930007
2024-03-06,141595.15885930005
2024-03-07,143363.02885930007
2024-03-08,141793.37885930008
2024-03-11,140257.37885930008
2024-03-12,142544.2488593001
2024-03-13,142665.12385930007
2024-03-14,141327.43885930008
2024-03-15,139505.31385930008
2024-03-18,140328.55885930007
2024-03-19,140734.0988593001
2024-03-20,143174.56885930008
2024-03-21,144982.59885930002
2024-03-22,144630.19885930012
2024-03-25,145064.03885930005
2024-03-26,144595.83885930007
2024-03-27,144584.31885930005
2024-03-28,144551.6788593001
2024-04-01,144605.56103930014
2024-04-02,142407.48103930007
2024-04-03,144117.9110393001
2024-04-04,141635.1610393001
2024-04-05,144556.0810393
2024-04-08,144397.5710393001
2024-04-09,142859.34103930008
2024-04-10,141662.78103930008
2024-04-11,143260.7310393001
2024-04-12,140602.71603930008
2024-04-15,138382.41103930012
2024-04-16,138919.89103930004
2024-04-17,137276.2910393001
2024-04-18,136463.2810393001
2024-04-19,133373.70103930004
2024-04-22,134804.54103930006
2024-04-23,138347.97103930006
2024-04-24,137785.07103930006
2024-04-25,137965.9110393001
2024-04-26,139803.96103930005
2024-04-29,140305.8810393001
2024-04-30,137890.85103930012
2024-05-01,136618.12402180006
2024-05-02,138464.6440218001
2024-05-03,139981.56402180006
2024-05-06,143160.0640218001
2024-05-07,141062.60402180007
2024-05-08,142043.51402180002
2024-05-09,143198.6240218001
2024-05-10,143409.55402180008
2024-05-13,142455.12402180006
2024-05-14,143624.9440218001
2024-05-15,147300.8540218001
2024-05-16,145129.14402180005
2024-05-17,145319.16402180007
2024-05-20,146718.20402180008
2024-05-21,146950.62402180006
2024-05-22,146053.3940218001
2024-05-23,145295.01402180007
2024-05-24,148262.20402180008
2024-05-28,148681.60402180013
2024-05-29,147043.39402180005
2024-05-30,146298.4640218001
2024-05-31,144856.64402180008
2024-06-03,143656.67510430005
2024-06-04,142724.3151043001
2024-06-05,145516.40510430007
2024-06-06,144040.28510430004
2024-06-07,143672.35510430008
2024-06-10,143636.69510430007
2024-06-11,143192.77510430012
2024-06-12,143463.18510430006
2024-06-13,143687.83510430012
2024-06-14,141867.24010430006
2024-06-17,143569.81510430004
2024-06-18,144608.89510430003
2024-06-20,143805.4601043001
2024-06-21,142828.50510430007
2024-06-24,142787.53510430007
2024-06-25,142913.29510430014
2024-06-26,141679.6051043001
2024-06-27,141980.2851043001
2024-06-28,141338.16510430005
